2009,"Ribeira Brava European Cup 10,000m",Ribeira Brava (POR)
2009,Metz European Cup Race Walking,Metz (FRA)
2009,Amman IAAF World Cross Country Championships,"Golf Club Al Bisharat, Amman (JOR)"
1415 MAR 2009,Los Realejos European Cup Winter Throwing,Los Realejos (ESP)
0608 MAR 2009,Torino European Indoor Championships,"Oval Lingotto, Torino (ITA)"
2008,15th SPAR European Cross Country Championships,Bruxelles (BEL)
2008,Rio de Janeiro IAAF World Half Marathon Championships,Rio de Janeiro (BRA)
1314 SEP 2008,Stuttgart IAAF World Athletics Final,"Gottlieb-Daimler Stadion, Stuttgart (GER)"
1524 AUG 2008,Beijing Olympic Games,"National Stadium, Beijing (CHN)"
0813 JUL 2008,Bydgoszcz IAAF World Junior Championships,"Zdzislaw Krzyszkowiak Stadium, Bydgoszcz (POL)"
2829 JUN 2008,European Cup Combined Events Super League,"Blankers-Koen Stadion, Hengelo (NED)"
2829 JUN 2008,European Cup Combined Events 2nd League,Maribor (SLO)
2829 JUN 2008,European Cup Combined Events 1st League,Jyv�skyl� (FIN)
1011 MAY 2008,Cheboksary IAAF World Race Walking Cup,Cheboksary (RUS)
2008,"Istanbul European 10,000m Cup",Istanbul (TUR)
2008,Edinburgh IAAF World Cross Country Championships,"Holyrood Park, Edinburgh (GBR)"
1516 MAR 2008,Split European Winter Throwing Cup,Split (CRO)
0709 MAR 2008,Valencia IAAF World Indoor Championships,"Vel�dromo Luis Puig, Valencia (ESP)"
2012,19th SPAR European Cross Country Championships,Szentendre (HUN)
2012,Kavarna IAAF World Half Marathon Championships,Kavarna (BUL)
2012,Bruxelles Memorial Van Damme,"Boudewijnstadion, Bruxelles (BEL)"
2930 AUG 2012,Z�rich Weltklasse,"Letzigrund, Z�rich (SUI)"
2012,Birmingham Aviva Grand Prix,"Alexander Stadium, Birmingham (GBR)"
2012,Lausanne Athletissima,"Stade Olympique de la Pontaise, Lausanne (SUI)"
2012,Stockholm DN Galan,"Olympiastadion, Stockholm (SWE)"
03�12 AUG 2012,London Olympic Games,"Olympic Stadium, London (GBR)"
2012,Monaco Herculis,"Stade Louis II, Monaco (MON)"
1314 JUL 2012,Crystal Palace Aviva London Grand Prix,"Crystal Palace, London (GBR)"
1015 JUL 2012,Barcelona IAAF World Junior Championships,"Estadio Ol�mpico, Barcelona (ESP)"
2012,Paris Meeting AREVA,Paris (FRA)
27 JUN01 JUL 2012,Helsinki European Championships,"Olympiastadion, Helsinki (FIN)"
2012,New York adidas Grand Prix,"Icahn Stadium, New York, NY (USA)"
2012,Oslo ExxonMobil Bislett Games,"Bislett Stadion, Oslo (NOR)"
2012,"Bilbao European Cup 10,000m",Bilbao (ESP)
0102 JUN 2012,Eugene Prefontaine Classic,"Hayward Field, Eugene, OR (USA)"
2012,Roma Golden Gala,"Stadio Olimpico, Roma (ITA)"
2012,Shanghai Samsung Diamond League,"Shanghai Stadium, Shanghai (CHN)"
1213 MAY 2012,Saransk IAAF World Race Walking Cup,Saransk (RUS)
2012,Doha IAAF Diamond League Meeting,"Suhaim bin Hamad Stadium, Doha (QAT)"
1718 MAR 2012,Bar European Cup Winter Throwing,Bar (MNE)
0911 MAR 2012,Istanbul IAAF World Indoor Championships,"Atak�y Arena, Istanbul (TUR)"
2011,18th SPAR European Cross Country Championships,Velenje (SLO)
2011,Bruxelles Memorial van Damme,"Boudewijnstadion, Bruxelles (BEL)"
0708 SEP 2011,Z�rich Weltklasse,"Letzigrund, Z�rich (SUI)"
27 AUG04 SEP 2011,Daegu IAAF World Championships,"DS, Daegu (KOR)"
0506 AUG 2011,Crystal Palace AVIVA London Grand Prix,"Crystal Palace, London (GBR)"
2829 JUL 2011,Stockholm DN Galan,"Olympiastadion, Stockholm (SWE)"
2011,Monaco Herculis,"Stade Louis II, Monaco (MON)"
2124 JUL 2011,Tallinn European Junior Championships,Tallinn (EST)
1417 JUL 2011,Ostrava European U23 Championsips,Ostrava (CZE)
2011,Birmingham AVIVA British Grand Prix,"Alexander Stadium, Birmingham (GBR)"
2011,Paris Meeting AREVA,Paris (FRA)
0610 JUL 2011,Lille IAAF World Youth Championships,Lille (FRA)
0203 JUL 2011,European Cup Combined Events 2nd League,Ribeira Brava (POR)
0203 JUL 2011,European Cup Combined Events Super League,Toru? (POL)
0203 JUL 2011,European Cup Combined Events 1st League,Bressanone (ITA)
2011,Lausanne Athletissima,"Stade Olympique de la Pontaise, Lausanne (SUI)"
1819 JUN 2011,European Athletics Team Championships Third League,"Laugardalsv�llur, Reykjav�k (ISL)"
1819 JUN 2011,European Team Championships,"Olympiastadion, Stockholm (SWE)"
1819 JUN 2011,European Athletics Team Championships First League,Izmir (TUR)
1819 JUN 2011,European Athletics Team Championships Second League,Novi Sad (SRB)
2011,New York adidas Grand Prix,"Icahn Stadium, New York, NY (USA)"
2011,Oslo ExxonMobil Bislett Games,"Bislett Stadion, Oslo (NOR)"
2011,"Oslo European 10,000m Cup",Oslo (NOR)
0304 JUN 2011,Eugene Prefontaine Classic,"Hayward Field, Eugene, OR (USA)"
2011,Roma Compeed Golden Gala,"Stadio Olimpico, Roma (ITA)"
2011,Olh�o European Cup Race Walking,Olhao (POR)
2011,Shanghai Samsung Diamond League,"Shanghai Stadium, Shanghai (CHN)"
2011,Doha Samsung Diamond League Meeting,"Suhaim bin Hamad Stadium, Doha (QAT)"
2011,Punta Umbria IAAF World Cross Country Championships,Punta Umbria (ESP)
1920 MAR 2011,Sofia European Cup Winter Throwing,Sofia (BUL)
0406 MAR 2011,Paris European Indoor Championships,"Palais Omnisports de Paris-Bercy, Paris (FRA)"
2010,17th SPAR European Cross Country Championships,Albufeira (POR)
2010,Nanning IAAF World Half Marathon Championships,Nanning (CHN)
0405 SEP 2010,Split IAAF/VTB Bank Continental Cup,"Poljud Stadion, Split (CRO)"
2010,Bruxelles Memorial van Damme,"Boudewijnstadion, Bruxelles (BEL)"
1819 AUG 2010,Z�rich Weltklasse,"Letzigrund, Z�rich (SUI)"
1723 AUG 2010,Singapore Youth Olympic Games,Singapore (SGP)
1314 AUG 2010,Crystal Palace AVIVA London Grand Prix,"Crystal Palace, London (GBR)"
0506 AUG 2010,Stockholm DN Galan,"Olympiastadion, Stockholm (SWE)"
27 JUL01 AUG 2010,Barcelona European Championships,"Estadio Ol�mpico, Barcelona (ESP)"
2010,Monaco Herculis,"Stade Louis II, Monaco (MON)"
1925 JUL 2010,Moncton IAAF World Junior Championships,"Croix-Bleue Medavie Stadium, Moncton (CAN)"
2010,Paris Meeting Areva,"Stade de France, Paris-St-Denis (FRA)"
2010,Gateshead AVIVA British Grand Prix,"International Stadium, Gateshead (GBR)"
2010,Lausanne Athletissima,"Stade Olympique de la Pontaise, Lausanne (SUI)"
2010,Eugene Prefontaine Classic,"Hayward Field, Eugene, OR (USA)"
2627 JUN 2010,European Cup Combined Events 1st League,"Blankers-Koen Stadion, Hengelo (NED)"
2627 JUN 2010,European Cup Combined Events 2nd League,Tel Aviv (ISR)
2627 JUN 2010,European Cup Combined Events Super League,Tallinn (EST)
1920 JUN 2010,European Athletics Team Championships Second League,Beograd (SRB)
1920 JUN 2010,European Athletics Team Championships First League,"Pusk�s Ferenc Stadion, Budapest (HUN)"
1920 JUN 2010,SPAR European Team Championships,"Fana Stadion, Bergen (NOR)"
1920 JUN 2010,European Athletics Team Championships Third League,"Marsa Athletics Track, Marsa (MLT)"
2010,New York adidas Grand Prix,"Icahn Stadium, New York, NY (USA)"
2010,Roma Golden Gala,"Stadio Olimpico, Roma (ITA)"
2010,"Marseille European Cup 10,000m",Marseille (FRA)
2010,Oslo ExxonMobil Bislett Games,"Bislett Stadion, Oslo (NOR)"
2010,Shanghai IAAF Diamond League Meeting,"Shanghai Stadium, Shanghai (CHN)"
1516 MAY 2010,Chihuahua IAAF World Race Walking Cup,Chihuahua (MEX)
2010,Doha IAAF Diamond League Meeting,"Suhaim bin Hamad Stadium, Doha (QAT)"
2010,Bydgoszcz IAAF World Cross Country Championships,"Myslecinek Park, Bydgoszcz (POL)"
2021 MAR 2010,Arles European Cup Winter Throwing,Arles (FRA)
1214 MAR 2010,Doha IAAF World Indoor Championships,"Aspire Dome, Doha (QAT)"
2009,16th SPAR European Cross Country Championships,Dublin (IRL)
2009,Birmingham IAAF World Half Marathon Championships,Birmingham (GBR)
1213 SEP 2009,Thessaloniki IAAF/VTB Bank World Athletics Final,Thessaloniki (GRE)
1523 AUG 2009,Berlin IAAF World Championships,"Olympiastadion, Berlin (GER)"
2326 JUL 2009,Novi Sad European Junior Championships,Novi Sad (SRB)
1619 JUL 2009,Kaunas European U23 Championships,Kaunas (LTU)
0812 JUL 2009,Bressanone IAAF World Youth Championships,Bressanone (ITA)
2728 JUN 2009,European Cup Combined Events 2nd League,Maribor (SLO)
2728 JUN 2009,European Cup Combined Events Super League,Szczecin (POL)
2728 JUN 2009,European Cup Combined Events 1st League,Zaragoza (ESP)
2021 JUN 2009,European Athletics Team Championships Second League,"�tadi�n SNP, Bansk� Bystrica (SVK)"
2021 JUN 2009,SPAR European Team Championships,"Est�dio Dr. Magalh�es Pessoa, Leiria (POR)"
2021 JUN 2009,European Athletics Team Championships First League,"Fana Stadion, Bergen (NOR)"
2021 JUN 2009,European Athletics Team Championships Third League,"Ko�evo City Stadium, Sarajevo (BIH)"
